Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Caranx,melampygus,Carangidae,1,1,1,1,1,1,6,fished,117
Caranx,papuensis,Carangidae,1,1,0,1,1,0,4,fished,88
Caranx,sexfasciatus,Carangidae,1,1,1,1,1,1,6,fished,120
Caranx,tille,Carangidae,0,1,0,1,0,0,2,fished,80
Decapterus,macarellus,Carangidae,0,1,0,1,0,0,2,fished,46
Decapterus,macrosoma,Carangidae,0,1,0,0,0,0,1,fished,35
Elagatis,bipinnulata,Carangidae,1,1,0,1,1,0,4,fished,180
Gnathanodon,speciosus,Carangidae,1,1,0,1,1,1,5,fished,120
Naucrates,ductor,Carangidae,0,0,0,1,0,0,1,fished,70
Parastromateus,niger,Carangidae,0,0,0,1,0,0,1,fished,75
Scomberoides,commersonnianus,Carangidae,0,1,0,0,0,0,1,fished,120
Scomberoides,lysan,Carangidae,1,1,0,1,1,0,4,fished,110
Scomberoides,lysan,Carangidae,1,1,0,1,1,1,5,Fished,110
Scomberoides,tol,Carangidae,1,0,0,0,0,1,2,fished,60
Selar,boops,Carangidae,1,1,0,1,0,0,3,fished,25
Selar,crumenophthalmus,Carangidae,1,1,0,1,1,0,4,fished,70
Selaroides,leptolepis,Carangidae,1,0,0,1,0,0,2,fished,22
Seriola,rivoliana,Carangidae,0,1,0,0,0,0,1,fished,160
Trachinotus,baillonii,Carangidae,1,0,0,1,0,0,2,fished,60
Trachinotus,blochii,Carangidae,1,0,0,1,1,0,3,fished,110
Carcharhinus,albimarginatus,Carcharhinidae,1,1,0,0,1,0,3,fished,300
Carcharhinus,amblyrhynchos,Carcharhinidae,1,1,0,1,1,0,4,fished,255
Carcharhinus,falciformis,Carcharhinidae,0,1,0,0,0,0,1,fished,350
Carcharhinus,longimanus,Carcharhinidae,0,1,0,0,0,0,1,fished,400
Carcharhinus,melanopterus,Carcharhinidae,1,1,1,0,1,0,4,fished,200
Galeocerdo,cuvier,Carcharhinidae,1,1,0,0,1,0,3,fished,750
Triaenodon,obesus,Carcharhinidae,1,1,1,1,1,0,5,fished,213
Chaetodon,auriga,Chaetodontidae,1,1,1,1,1,1,6,not fished,23
Chaetodon,baronessa,Chaetodontidae,1,1,1,1,1,1,6,not fished,16
Chaetodon,bennetti,Chaetodontidae,1,1,1,1,1,1,6,not fished,20
Chaetodon,burgessi,Chaetodontidae,1,1,0,1,1,0,4,not fished,14
Chaetodon,citrinellus,Chaetodontidae,1,1,1,1,1,1,6,not fished,13
Chaetodon,ephippium,Chaetodontidae,1,1,1,1,1,1,6,not fished,30
Chaetodon,kleinii,Chaetodontidae,1,1,1,1,1,1,6,not fished,15
Chaetodon,lineolatus,Chaetodontidae,1,1,1,1,0,1,5,not fished,30
Chaetodon,lunula,Chaetodontidae,1,1,0,1,1,0,4,not fished,20
Chaetodon,lunulatus,Chaetodontidae,1,1,0,1,1,0,4,not fished,14
Chaetodon,melannotus,Chaetodontidae,1,1,1,1,1,0,5,not fished,18
Chaetodon,mertensii,Chaetodontidae,1,0,0,0,1,0,2,not fished,12.5
Chaetodon,meyeri,Chaetodontidae,1,1,0,1,1,0,4,not fished,20
Chaetodon,ocellicaudus,Chaetodontidae,1,1,0,1,0,0,3,not fished,15
Chaetodon,octofasciatus,Chaetodontidae,1,1,0,1,1,0,4,not fished,12
Chaetodon,ornatissimus,Chaetodontidae,1,1,1,1,1,0,5,not fished,20
Chaetodon,oxycephalus,Chaetodontidae,1,1,0,1,1,0,4,not fished,25
Chaetodon,pelewensis,Chaetodontidae,1,1,1,1,1,0,5,not fished,12.5
Chaetodon,plebeius,Chaetodontidae,1,0,1,1,1,1,5,not fished,15
Chaetodon,punctatofasciatus,Chaetodontidae,1,1,0,1,1,0,4,not fished,12
Chaetodon,raffles,Chaetodontidae,1,1,0,1,1,1,5,not fished,18
Chaetodon,reticulatus,Chaetodontidae,1,0,0,0,0,0,1,not fished,18
Chaetodon,semeion,Chaetodontidae,1,1,0,1,1,0,4,not fished,26
Chaetodon,speculum,Chaetodontidae,1,1,1,1,0,0,4,not fished,18
Chaetodon,trifascialis,Chaetodontidae,1,1,1,1,1,1,6,not fished,18
Chaetodon,ulietensis,Chaetodontidae,1,1,1,1,1,1,6,not fished,15
Chaetodon,unimaculatus,Chaetodontidae,1,1,1,1,0,1,5,not fished,20
Chaetodon,vagabundus,Chaetodontidae,1,1,1,1,1,1,6,not fished,23
Chelmon,rostratus,Chaetodontidae,1,0,1,0,1,1,4,not fished,20
Coradion,altivelis,Chaetodontidae,1,1,0,1,0,0,3,not fished,18
Coradion,chrysozonus,Chaetodontidae,1,0,0,1,1,0,3,not fished,15
Coradion,melanopus,Chaetodontidae,1,0,0,1,0,0,2,not fished,15
Forcipiger,flavissimus,Chaetodontidae,1,1,1,1,1,0,5,not fished,22
Forcipiger,longirostris,Chaetodontidae,1,1,1,1,1,0,5,not fished,22
Hemitaurichthys,polylepis,Chaetodontidae,1,1,1,1,1,0,5,not fished,18
Heniochus,acuminatus,Chaetodontidae,1,1,1,1,1,1,6,not fished,25
