Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Pomacentrus,brachialis,Pomacentridae,1,1,0,1,1,0,4,not fished,8
Pomacentrus,burroughi,Pomacentridae,1,1,0,1,1,0,4,not fished,8.5
Pomacentrus,chrysurus,Pomacentridae,1,0,0,1,0,0,2,not fished,9
Pomacentrus,coelestis,Pomacentridae,1,1,0,1,1,0,4,not fished,9
Pomacentrus,colini,Pomacentridae,1,0,1,0,0,0,2,not fished,7
Pomacentrus,grammorhynchus,Pomacentridae,1,0,1,1,1,0,4,not fished,9
Pomacentrus,lepidogenys,Pomacentridae,1,1,0,1,1,0,4,not fished,9
Pomacentrus,moluccensis,Pomacentridae,1,1,1,1,1,0,5,not fished,9
Pomacentrus,nagasakiensis,Pomacentridae,1,0,1,1,1,0,4,not fished,11
Pomacentrus,nigromanus,Pomacentridae,1,1,1,1,1,0,5,not fished,9
Pomacentrus,nigromarginatus,Pomacentridae,1,1,0,1,1,0,4,not fished,8
Pomacentrus,opisthostigma,Pomacentridae,1,0,0,0,0,0,1,not fished,6.5
Pomacentrus,pavo,Pomacentridae,1,1,1,1,1,0,5,not fished,8.5
Pomacentrus,philippinus,Pomacentridae,1,1,0,1,1,0,4,not fished,10
Pomacentrus,reidi,Pomacentridae,1,1,1,1,1,0,5,not fished,9
Pomacentrus,simsiang,Pomacentridae,1,1,0,1,1,0,4,not fished,7
Pomacentrus,smithi,Pomacentridae,1,1,0,0,0,0,2,not fished,7
Pomacentrus,taeniometopon,Pomacentridae,1,0,0,0,0,0,1,not fished,12
Pomacentrus,tripunctatus,Pomacentridae,1,1,0,1,0,0,3,not fished,7.5
Pomacentrus,vaiuli,Pomacentridae,1,1,0,1,1,0,4,not fished,10
Pomacentrus,wardi,Pomacentridae,0,0,1,0,0,0,1,not fished,8
Premnas,biaculeatus,Pomacentridae,1,1,1,1,1,1,6,not fished,17
Stegastes,albifasciatus,Pomacentridae,1,1,1,1,1,0,5,not fished,13
Stegastes,fasciolatus,Pomacentridae,1,1,1,1,1,0,5,not fished,16.5
Stegastes,lividus,Pomacentridae,1,1,0,0,1,1,4,not fished,11
Stegastes,nigricans,Pomacentridae,1,1,1,1,1,0,5,not fished,14
Stegastes,punctatus,Pomacentridae,0,0,0,1,0,0,1,not fished,13
Priacanthus ,hamrur,Priacanthidae,1,0,1,1,1,0,4,Fished,45
Bolbometopon,muricatum,Scaridae,1,1,0,1,1,0,4,fished,130
Calotomus,carolinus,Scaridae,1,1,1,1,1,0,5,fished,54
Calotomus,spinidens,Scaridae,0,0,1,0,1,0,2,fished,30
Cetoscarus,bicolor,Scaridae,1,1,1,0,0,0,3,fished,90
Cetoscarus,ocellatus,Scaridae,0,0,0,1,1,0,2,fished,80
Chlorurus,bleekeri,Scaridae,1,1,1,1,1,0,5,fished,49
Chlorurus,bowersi,Scaridae,0,0,0,1,0,0,1,fished,40
Chlorurus,frontalis,Scaridae,0,0,0,0,1,0,1,fished,50
Chlorurus,japanensis,Scaridae,0,1,0,1,1,0,3,fished,31
Chlorurus,microrhinos,Scaridae,1,1,1,1,1,0,5,fished,70
Chlorurus,pyrrhurus,Scaridae,0,0,0,0,1,0,1,Fished,31
Chlorurus,sordidus,Scaridae,1,1,1,1,1,1,6,fished,40
Hipposcarus,longiceps,Scaridae,1,1,1,1,1,1,6,fished,60
Leptoscarus,vaigiensis,Scaridae,1,0,1,1,0,0,3,fished,35
Scarus,altipinnis,Scaridae,1,0,0,0,0,0,1,fished,60
Scarus,chameleon,Scaridae,1,1,1,1,1,0,5,fished,31
Scarus,dimidiatus,Scaridae,1,1,0,1,1,0,4,fished,40
Scarus,festivus,Scaridae,1,0,0,0,0,0,1,fished,45
Scarus,flavipectoralis,Scaridae,1,1,1,1,1,0,5,fished,40
Scarus,forsteni,Scaridae,1,1,0,1,0,0,3,fished,55
Scarus,frenatus,Scaridae,1,1,1,1,1,0,5,fished,47
Scarus,ghobban,Scaridae,1,1,1,1,1,0,5,fished,90
Scarus,globiceps,Scaridae,1,0,0,1,0,0,2,fished,45
Scarus,niger,Scaridae,1,1,1,1,1,0,5,fished,40
Scarus,oviceps,Scaridae,1,1,0,1,1,0,4,fished,35
Scarus,prasiognathos,Scaridae,0,1,0,0,1,0,2,fished,70
Scarus,psittacus,Scaridae,1,1,0,1,1,0,4,fished,30
Scarus,pyrrhurus,Scaridae,1,0,0,0,0,0,1,fished,31
Scarus,quoyi,Scaridae,1,1,1,1,1,0,5,fished,40
Scarus,rivulatus,Scaridae,1,0,1,0,1,0,3,fished,40
Scarus,rubroviolaceus,Scaridae,1,1,0,1,1,0,4,fished,70
Scarus,schlegeli,Scaridae,1,0,1,1,1,0,4,fished,40
Scarus,spinus,Scaridae,1,1,1,1,1,0,5,fished,30
Scarus,tricolor,Scaridae,1,1,0,1,1,0,4,fished,26
Rastrelliger ,kanagurta,Scombridae,1,1,1,1,1,0,5,Fished,38
Aethaloperca,rogaa,Serranidae,1,1,0,1,1,0,4,fished,60
Anyperodon,leucogrammicus,Serranidae,1,1,1,1,1,0,5,fished,65
Cephalopholis,aitha,Serranidae,0,0,0,1,0,0,1,fished,40
Cephalopholis,argus,Serranidae,1,1,1,1,1,0,5,fished,60
Cephalopholis,boenack,Serranidae,1,1,1,1,1,0,5,fished,30
Cephalopholis,cyanostigma,Serranidae,1,1,0,1,1,0,4,fished,40
Cephalopholis,leopardus,Serranidae,1,1,0,1,1,0,4,fished,24
Cephalopholis,microprion,Serranidae,1,1,0,1,1,0,4,fished,25
Cephalopholis,miniata,Serranidae,1,1,0,1,1,1,5,fished,50
Cephalopholis,polleni,Serranidae,1,1,0,1,0,0,3,fished,43
Cephalopholis,sexmaculata,Serranidae,1,1,0,1,1,0,4,fished,50
Cephalopholis,sonnerati,Serranidae,1,0,0,0,1,0,2,fished,57
Cephalopholis,spiloparaea,Serranidae,1,1,0,1,1,0,4,fished,30
Cephalopholis,urodeta,Serranidae,1,1,1,1,1,0,5,fished,28
Cromileptes,altivelis,Serranidae,1,1,1,1,1,0,5,fished,70
Diploprion,bifasciatum,Serranidae,1,1,1,1,1,0,5,fished,25
Epinephelus,areolatus,Serranidae,1,1,0,0,0,0,2,fished,47
Epinephelus,bleekeri,Serranidae,0,1,0,0,0,0,1,fished,76
Epinephelus,bontoides,Serranidae,1,0,0,0,0,0,1,fished,30
Epinephelus,caeruleopunctatus,Serranidae,1,1,0,1,1,0,4,fished,76
Epinephelus,chlorostigma,Serranidae,0,1,0,0,0,0,1,fished,75
Epinephelus,coioides,Serranidae,1,0,0,1,0,0,2,fished,120
Epinephelus,corallicola,Serranidae,1,1,0,0,1,0,3,fished,49
Epinephelus,cyanopodus,Serranidae,1,0,0,1,0,0,2,fished,122
Epinephelus,fasciatus,Serranidae,1,1,1,1,1,0,5,fished,40
Epinephelus,fuscoguttatus,Serranidae,1,1,1,1,1,0,5,fished,120
Epinephelus,hexagonatus,Serranidae,1,1,0,1,1,0,4,fished,27.5
Epinephelus,howlandi,Serranidae,1,0,0,0,1,0,2,fished,55
Epinephelus,lanceolatus,Serranidae,0,1,0,1,1,0,3,fished,270
Epinephelus,macrospilos,Serranidae,1,0,0,0,0,0,1,fished,51
Epinephelus,maculatus,Serranidae,1,1,1,1,1,0,5,fished,60.5
Epinephelus,malabaricus,Serranidae,0,0,0,1,0,0,1,fished,234
Epinephelus,melanostigma,Serranidae,0,0,0,1,1,0,2,fished,35
Epinephelus,merra,Serranidae,1,1,1,0,1,1,5,fished,32
Epinephelus,miliaris,Serranidae,0,1,0,0,0,0,1,fished,53
Epinephelus,morrhua,Serranidae,0,1,0,0,0,0,1,fished,90
Epinephelus,ongus,Serranidae,1,1,0,1,0,1,4,fished,40
Epinephelus,polyphekadion,Serranidae,1,1,1,1,1,0,5,fished,90
Epinephelus,quoyanus,Serranidae,1,1,0,0,0,0,2,fished,40
Epinephelus,spilotoceps,Serranidae,1,0,0,0,1,0,2,fished,35
Epinephelus,undulosus,Serranidae,1,0,0,1,0,0,2,fished,120
Gracila,albimarginata,Serranidae,1,1,1,1,1,0,5,fished,40
Plectropomus,areolatus,Serranidae,1,1,0,1,1,0,4,fished,80
Plectropomus,laevis,Serranidae,1,1,1,1,1,0,5,fished,125
Plectropomus,leopardus,Serranidae,1,1,1,1,1,0,5,fished,120
Plectropomus,maculatus,Serranidae,1,1,0,0,1,0,3,fished,125
Plectropomus,oligocanthus,Serranidae,1,1,0,1,1,0,4,fished,75
Variola,albimarginata,Serranidae,1,1,0,1,1,0,4,fished,65
Variola,louti,Serranidae,1,1,0,1,1,0,4,fished,83
Siganus,argenteus,Siganidae,1,1,1,1,1,0,5,fished,40
Siganus,corallinus,Siganidae,1,1,0,1,1,1,5,fished,35
Siganus,doliatus,Siganidae,1,1,0,1,1,0,4,fished,25
Siganus,fuscescens,Siganidae,1,1,0,1,1,0,4,fished,40
Siganus,javus,Siganidae,0,0,1,0,1,0,2,fished,53
Siganus,lineatus,Siganidae,1,1,0,1,1,0,4,fished,43
Siganus,puellus,Siganidae,1,1,1,1,1,0,5,fished,38
Siganus,punctatissimus,Siganidae,1,1,0,1,1,0,4,fished,35
Siganus,punctatus,Siganidae,1,1,0,1,1,0,4,fished,40
Siganus,randalli,Siganidae,1,0,0,0,0,0,1,fished,30
Siganus,spinus,Siganidae,1,1,1,1,1,0,5,fished,28
Siganus,vermiculatus,Siganidae,0,0,0,1,1,1,3,fished,45
Siganus,vulpinus,Siganidae,1,1,1,0,1,0,4,fished,25
Sphyraena ,barracuda,Sphyraenidae,1,1,0,1,1,0,4,Fished,200
Sphyraena ,qenie,Sphyraenidae,1,0,1,1,1,0,4,Fished,170
Sphyrna,lewini,Sphyrnidae,1,1,0,0,0,0,2,fished,430
Sphyrna,mokarran,Sphyrnidae,0,1,0,0,0,0,1,fished,610
,,,394,339,168,349,330,69,,,
